step,loss,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.782888412475586,0.0,1.509186029434204,1.392043113708496,1.509186029434204,1.509186029434204,1.392043113708496,1.509186029434204,1.0,0,0.24937484203837812
200,4.92437744140625,0.03125,1.780390977859497,1.877123475074768,1.877123475074768,1.780390977859497,1.877123475074768,1.877123475074768,1.0,0,46.39264910505153
400,4.837385654449463,0.015625,3.3957903385162354,4.035931587219238,4.035931587219238,3.3957903385162354,4.035931587219238,4.035931587219238,1.0,0,92.46286420989782
600,4.9179558753967285,0.015625,2.909285545349121,4.7595367431640625,4.7595367431640625,2.909285545349121,4.7595367431640625,4.7595367431640625,1.0,0,138.5855077970773
800,4.863171100616455,0.046875,3.483297348022461,6.694873332977295,6.694873332977295,3.483297348022461,6.694873332977295,6.694873332977295,1.0,0,184.74734672205523
1000,4.825084686279297,0.046875,4.673704624176025,6.6039557456970215,6.6039557456970215,4.673704624176025,6.6039557456970215,6.6039557456970215,1.0,0,230.90383490803652
1199,4.884937763214111,0.0,3.4605863094329834,5.741208553314209,5.741208553314209,3.4605863094329834,5.741208553314209,5.741208553314209,1.0,0,276.76982435700484
