step,loss,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.782888412475586,0.0,1.509186029434204,1.392043113708496,1.509186029434204,1.509186029434204,1.392043113708496,1.509186029434204,1.0,0,0.2504513149615377
100,4.937135696411133,0.015625,1.4847837686538696,1.524551272392273,1.524551272392273,1.4847837686538696,1.524551272392273,1.524551272392273,1.0,0,23.36199808702804
200,4.92437744140625,0.03125,1.780390977859497,1.877123475074768,1.877123475074768,1.780390977859497,1.877123475074768,1.877123475074768,1.0,0,46.381589761935174
300,4.8408002853393555,0.015625,5.244805335998535,5.046189785003662,5.244805335998535,5.244805335998535,5.046189785003662,5.244805335998535,1.0,0,69.3850539480336
400,4.859631061553955,0.015625,4.853597640991211,5.394256114959717,5.394256114959717,4.853597640991211,5.394256114959717,5.394256114959717,1.0,0,92.51465758797713
500,4.801934242248535,0.015625,5.246550559997559,6.490556716918945,6.490556716918945,5.246550559997559,6.490556716918945,6.490556716918945,1.0,0,115.53514543897472
600,4.9158711433410645,0.03125,6.142679214477539,8.095748901367188,8.095748901367188,6.142679214477539,8.095748901367188,8.095748901367188,1.0,0,138.6328469258733
700,4.858608722686768,0.015625,6.3759565353393555,7.494345664978027,7.494345664978027,6.3759565353393555,7.494345664978027,7.494345664978027,1.0,0,161.65059714694507
800,4.837684631347656,0.015625,6.486993789672852,8.349786758422852,8.349786758422852,6.486993789672852,8.349786758422852,8.349786758422852,1.0,0,184.66332939290442
900,4.851500034332275,0.03125,4.831050872802734,9.099358558654785,9.099358558654785,4.831050872802734,9.099358558654785,9.099358558654785,1.0,0,207.7697096990887
1000,4.788708209991455,0.0625,6.474949836730957,7.247157096862793,7.247157096862793,6.474949836730957,7.247157096862793,7.247157096862793,1.0,0,230.7829285368789
1100,4.720459461212158,0.0625,7.1279754638671875,8.431694984436035,8.431694984436035,7.1279754638671875,8.431694984436035,8.431694984436035,1.0,0,253.79072460904717
1200,4.788260459899902,0.046875,6.59656286239624,9.705530166625977,9.705530166625977,6.59656286239624,9.705530166625977,9.705530166625977,1.0,0,276.9076348270755
1300,4.778041839599609,0.078125,6.527097702026367,10.205717086791992,10.205717086791992,6.527097702026367,10.205717086791992,10.205717086791992,1.0,0,299.9115559810307
1400,4.805431365966797,0.015625,6.562297344207764,9.95936107635498,9.95936107635498,6.562297344207764,9.95936107635498,9.95936107635498,1.0,0,322.9331964768935
1500,4.747828483581543,0.046875,7.481359004974365,10.580528259277344,10.580528259277344,7.481359004974365,10.580528259277344,10.580528259277344,1.0,0,346.04037552303635
1600,4.667985916137695,0.09375,8.139591217041016,10.710598945617676,10.710598945617676,8.139591217041016,10.710598945617676,10.710598945617676,1.0,0,369.0474130359944
1700,4.820405960083008,0.03125,7.6326446533203125,10.638285636901855,10.638285636901855,7.6326446533203125,10.638285636901855,10.638285636901855,1.0,0,392.04392894986086
1800,4.763550758361816,0.0625,8.143342971801758,11.552665710449219,11.552665710449219,8.143342971801758,11.552665710449219,11.552665710449219,1.0,0,415.1683176129591
1900,4.69599723815918,0.0625,12.087374687194824,13.457186698913574,13.457186698913574,10.840295791625977,11.9527587890625,11.9527587890625,0.9495059019778868,0,438.179857974872
2000,4.717546463012695,0.078125,12.320121765136719,16.187463760375977,16.187463760375977,8.346139907836914,11.591164588928223,11.591164588928223,0.8184146281174199,0,461.2917696200311
2100,4.782461643218994,0.078125,12.777276992797852,18.067808151245117,18.067808151245117,8.045666694641113,11.88266372680664,11.88266372680664,0.7821675742516513,0,484.31417089886963
2200,4.727115154266357,0.078125,13.403934478759766,18.521791458129883,18.521791458129883,9.034797668457031,13.014923095703125,13.014923095703125,0.8163677669906146,0,507.35756094101816
2300,4.819133758544922,0.0625,16.399311065673828,23.749000549316406,23.749000549316406,7.608046531677246,11.483686447143555,11.483686447143555,0.6769009513841586,0,530.4714534829836
2400,4.663585186004639,0.0625,16.173208236694336,22.650787353515625,22.650787353515625,7.57843017578125,11.054632186889648,11.054632186889648,0.6765997404553727,0,553.4856775130611
2500,4.827136039733887,0.046875,15.459493637084961,23.209209442138672,23.209209442138672,8.157758712768555,12.472010612487793,12.472010612487793,0.7234328603920174,0,576.4978849149775
2600,4.6973981857299805,0.09375,27.022109985351562,31.40094757080078,31.40094757080078,8.77553939819336,11.455825805664062,11.455825805664062,0.6128230038606663,0,599.608662186889
2700,4.714047431945801,0.09375,28.52043914794922,37.703636169433594,37.703636169433594,8.083581924438477,11.528936386108398,11.528936386108398,0.575204401337265,0,622.6361303420272
2800,4.704634666442871,0.09375,30.545780181884766,41.332679748535156,41.332679748535156,8.220516204833984,11.727191925048828,11.727191925048828,0.5618352650612967,0,645.6737032649107
2900,4.693328857421875,0.109375,39.88846206665039,48.05211639404297,48.05211639404297,9.262674331665039,12.240476608276367,12.240476608276367,0.5530397879171532,0,668.7849381279666
2999,4.697174072265625,0.046875,43.494895935058594,49.18357467651367,49.18357467651367,9.224284172058105,11.7719144821167,11.7719144821167,0.542985009604042,0,691.5609618050512
