step,loss,acc,gain_raw_row,gain_raw_col,gain_raw_max,gain_applied_row,gain_applied_col,gain_applied_max,harm_scale,floor_hits,wall_time_sec
0,5.782888412475586,0.0,1.509186029434204,1.392043113708496,1.509186029434204,1.509186029434204,1.392043113708496,1.509186029434204,1.0,0,0.248753520892933
200,4.92437744140625,0.03125,1.780390977859497,1.877123475074768,1.877123475074768,1.780390977859497,1.877123475074768,1.877123475074768,1.0,0,46.42514099390246
400,4.845734596252441,0.015625,9.4684476852417,9.27086353302002,9.4684476852417,9.4684476852417,9.27086353302002,9.4684476852417,1.0,0,92.57859029481187
600,4.921186447143555,0.015625,4.798107147216797,5.717529296875,5.717529296875,4.798107147216797,5.717529296875,5.717529296875,1.0,0,138.72694697487168
800,4.774479866027832,0.0625,6.693833827972412,7.4190216064453125,7.4190216064453125,6.693833827972412,7.4190216064453125,7.4190216064453125,1.0,0,184.81444865488447
1000,4.734492301940918,0.03125,5.701731204986572,8.395915985107422,8.395915985107422,5.701731204986572,8.395915985107422,8.395915985107422,1.0,0,230.97134869080037
1199,4.793057441711426,0.015625,8.719305038452148,12.934320449829102,12.934320449829102,4.995089530944824,7.946228981018066,7.946228981018066,0.7491861877069173,0,276.90109115396626
